datetime,open,high,low,close
2026-01-15 18:00,0.0355,0.0355,0.0355,0.0355
2026-01-15 19:00,0.0565,0.0565,0.0565,0.0565
2026-01-15 20:00,0.04,0.04,0.04,0.04
2026-01-15 21:00,0.0515,0.0515,0.0515,0.0515
2026-01-15 22:00,0.037,0.037,0.037,0.037
2026-01-15 23:00,0.022,0.022,0.022,0.022
2026-01-16 00:00,0.018,0.018,0.018,0.018
2026-01-16 01:00,0.016,0.016,0.016,0.016
2026-01-16 02:00,0.0145,0.0145,0.0145,0.0145
2026-01-16 03:00,0.016,0.016,0.016,0.016
2026-01-16 04:00,0.0065,0.0065,0.0065,0.0065
2026-01-16 05:00,0.013,0.013,0.013,0.013
2026-01-16 06:00,0.0135,0.0135,0.0135,0.0135
2026-01-16 07:00,0.0255,0.0255,0.0255,0.0255
2026-01-16 08:00,0.0215,0.0215,0.0215,0.0215
2026-01-16 09:00,0.0195,0.0195,0.0195,0.0195
2026-01-16 10:00,0.015,0.015,0.015,0.015
2026-01-16 11:00,0.0095,0.0095,0.0095,0.0095
2026-01-16 12:00,0.003,0.003,0.003,0.003
2026-01-16 13:00,0.0045,0.0045,0.0045,0.0045
2026-01-16 14:00,0.0045,0.0045,0.0045,0.0045
2026-01-16 15:00,0.005,0.005,0.005,0.005
2026-01-16 16:00,0.005,0.005,0.005,0.005
2026-01-16 17:00,0.0045,0.0045,0.0045,0.0045
2026-01-16 18:00,0.0045,0.0045,0.0045,0.0045
2026-01-16 19:00,0.004,0.004,0.004,0.004
2026-01-16 20:00,0.005,0.005,0.005,0.005
2026-01-16 21:00,0.0065,0.0065,0.0065,0.0065
2026-01-16 22:00,0.007,0.007,0.007,0.007
2026-01-16 23:00,0.008,0.008,0.008,0.008
2026-01-17 00:00,0.007,0.007,0.007,0.007
2026-01-17 01:00,0.0045,0.0045,0.0045,0.0045
2026-01-17 02:00,0.002,0.002,0.002,0.002
2026-01-17 03:00,0.002,0.002,0.002,0.002
2026-01-17 04:00,0.002,0.002,0.002,0.002
2026-01-17 05:00,0.0015,0.0015,0.0015,0.0015
2026-01-17 06:00,0.0005,0.0005,0.0005,0.0005
2026-01-17 07:00,0.0005,0.0005,0.0005,0.0005
